"","geoid","state","county","tract","blkgrp","name_1","below_pov","bipoc","bipoc_scor","poverty_sc","rpl_themes","cdc_score","blockgroup","resflood","critflood","comflood"
"73","370210022052","37","021","002205","2","Block Group 2, Census Tract 22.05, Buncombe County, North Carolina",0.79,17.56,3,1,0.41,3,"370210022051",2,0,1
"74","370210030014","37","021","003001","4","Block Group 4, Census Tract 30.01, Buncombe County, North Carolina",15.43,4.16,1,3,0.43,3,"370210018023",3,0,1
"75","370210004002","37","021","000400","2","Block Group 2, Census Tract 4, Buncombe County, North Carolina",0,3.16,1,1,0.39,2,"370210004001",1,0,3
"76","370210022053","37","021","002205","3","Block Group 3, Census Tract 22.05, Buncombe County, North Carolina",0,10.48,2,1,0.36,2,"370210022051",2,0,1
"77","370210002002","37","021","000200","2","Block Group 2, Census Tract 2, Buncombe County, North Carolina",0,23.22,3,1,0.22,2,"370210002001",1,0,2
"78","370210022061","37","021","002206","1","Block Group 1, Census Tract 22.06, Buncombe County, North Carolina",1.61,18.3,3,1,0.57,3,"370210021021",2,1,3
"79","370210004003","37","021","000400","3","Block Group 3, Census Tract 4, Buncombe County, North Carolina",0,19.97,3,1,0.39,2,"370210004001",1,0,3
"80","370210021021","37","021","002102","1","Block Group 1, Census Tract 21.02, Buncombe County, North Carolina",7.13,12.09,2,2,0.73,4,"370210019002",2,1,3
"81","370210023024","37","021","002302","4","Block Group 4, Census Tract 23.02, Buncombe County, North Carolina",7.03,9.17,2,2,0.3,2,"370210011003",1,1,1
"82","370210018011","37","021","001801","1","Block Group 1, Census Tract 18.01, Buncombe County, North Carolina",0,9.23,2,1,0.43,3,"370210005001",1,0,1
"83","370210018021","37","021","001802","1","Block Group 1, Census Tract 18.02, Buncombe County, North Carolina",0,14.66,3,1,0.36,2,"370210017001",1,0,2
"84","370210018022","37","021","001802","2","Block Group 2, Census Tract 18.02, Buncombe County, North Carolina",4.58,0,1,2,0.36,2,"370210017001",1,0,2
"85","370210032031","37","021","003203","1","Block Group 1, Census Tract 32.03, Buncombe County, North Carolina",1.82,0.62,1,1,0.33,2,"370210030011",2,0,1
"86","370210026073","37","021","002607","3","Block Group 3, Census Tract 26.07, Buncombe County, North Carolina",1.76,2.17,1,1,0.61,4,"370210014005",3,0,1
"87","370210028042","37","021","002804","2","Block Group 2, Census Tract 28.04, Buncombe County, North Carolina",0,2.46,1,1,0.46,3,NA,0,0,0
"88","370210026032","37","021","002603","2","Block Group 2, Census Tract 26.03, Buncombe County, North Carolina",20.67,1.07,1,4,0.75,4,NA,0,0,0
"89","370210023011","37","021","002301","1","Block Group 1, Census Tract 23.01, Buncombe County, North Carolina",0,3.57,1,1,0.34,2,"370210023024",1,0,1
"90","370210032041","37","021","003204","1","Block Group 1, Census Tract 32.04, Buncombe County, North Carolina",6.55,2.2,1,2,0.25,2,NA,0,0,0
"91","370210032021","37","021","003202","1","Block Group 1, Census Tract 32.02, Buncombe County, North Carolina",0,6.18,2,1,0.23,2,"370210022061",1,0,1
"92","370210032011","37","021","003201","1","Block Group 1, Census Tract 32.01, Buncombe County, North Carolina",0.54,1.38,1,1,0.19,1,"370210019002",2,1,3
"93","370210024012","37","021","002401","2","Block Group 2, Census Tract 24.01, Buncombe County, North Carolina",16.47,7.7,2,3,0.47,3,NA,0,0,0
"94","370210032042","37","021","003204","2","Block Group 2, Census Tract 32.04, Buncombe County, North Carolina",0,36.19,4,1,0.25,2,NA,0,0,0
"95","370210031043","37","021","003104","3","Block Group 3, Census Tract 31.04, Buncombe County, North Carolina",44.59,17.2,3,5,0.71,4,NA,0,0,0
"96","370210026053","37","021","002605","3","Block Group 3, Census Tract 26.05, Buncombe County, North Carolina",20.45,4.54,1,4,0.43,3,NA,0,0,0
"97","370210026064","37","021","002606","4","Block Group 4, Census Tract 26.06, Buncombe County, North Carolina",24.3,0,1,4,0.73,4,NA,0,0,0
"98","370210032032","37","021","003203","2","Block Group 2, Census Tract 32.03, Buncombe County, North Carolina",14.22,8.75,2,3,0.33,2,NA,0,0,0
"99","370210025031","37","021","002503","1","Block Group 1, Census Tract 25.03, Buncombe County, North Carolina",6.9,1.66,1,2,0.74,4,NA,0,0,0
"100","370210027022","37","021","002702","2","Block Group 2, Census Tract 27.02, Buncombe County, North Carolina",0,1.6,1,1,0.28,2,NA,0,0,0
"101","370210028041","37","021","002804","1","Block Group 1, Census Tract 28.04, Buncombe County, North Carolina",4.05,0.28,1,2,0.46,3,NA,0,0,0
"102","370210025043","37","021","002504","3","Block Group 3, Census Tract 25.04, Buncombe County, North Carolina",43,1.67,1,5,0.55,3,NA,0,0,0
"103","370210030024","37","021","003002","4","Block Group 4, Census Tract 30.02, Buncombe County, North Carolina",0,13.05,2,1,0.53,3,"370210030011",2,0,1
"104","370210030021","37","021","003002","1","Block Group 1, Census Tract 30.02, Buncombe County, North Carolina",3.24,4.07,1,2,0.53,3,NA,0,0,0
"105","370210031042","37","021","003104","2","Block Group 2, Census Tract 31.04, Buncombe County, North Carolina",4.42,9.19,2,2,0.71,4,NA,0,0,0
"106","370210030022","37","021","003002","2","Block Group 2, Census Tract 30.02, Buncombe County, North Carolina",0,0,1,1,0.53,3,NA,0,0,0
"107","370210027012","37","021","002701","2","Block Group 2, Census Tract 27.01, Buncombe County, North Carolina",6.85,7.15,2,2,0.28,2,NA,0,0,0
"108","370210026062","37","021","002606","2","Block Group 2, Census Tract 26.06, Buncombe County, North Carolina",44.19,1.44,1,5,0.73,4,NA,0,0,0
"109","370210031044","37","021","003104","4","Block Group 4, Census Tract 31.04, Buncombe County, North Carolina",0,11.95,2,1,0.71,4,NA,0,0,0
"110","370210030012","37","021","003001","2","Block Group 2, Census Tract 30.01, Buncombe County, North Carolina",4.45,5.12,1,2,0.43,3,"370210030011",2,0,1
"111","370210029002","37","021","002900","2","Block Group 2, Census Tract 29, Buncombe County, North Carolina",0,0.88,1,1,0.42,3,NA,0,0,0
"112","370210031031","37","021","003103","1","Block Group 1, Census Tract 31.03, Buncombe County, North Carolina",2.48,5.92,1,1,0.27,2,NA,0,0,0
"113","370210026031","37","021","002603","1","Block Group 1, Census Tract 26.03, Buncombe County, North Carolina",13.28,9.2,2,3,0.75,4,NA,0,0,0
"114","370210028043","37","021","002804","3","Block Group 3, Census Tract 28.04, Buncombe County, North Carolina",9.24,10.07,2,3,0.46,3,NA,0,0,0
"115","370210025062","37","021","002506","2","Block Group 2, Census Tract 25.06, Buncombe County, North Carolina",22.53,21.33,3,4,0.83,5,"370210013002",2,0,3
"116","370210024022","37","021","002402","2","Block Group 2, Census Tract 24.02, Buncombe County, North Carolina",13.79,13.19,2,3,0.51,3,"370210023022",2,0,2
"117","370210025032","37","021","002503","2","Block Group 2, Census Tract 25.03, Buncombe County, North Carolina",12.86,4.35,1,3,0.74,4,"370210024021",2,0,2
"118","370210025041","37","021","002504","1","Block Group 1, Census Tract 25.04, Buncombe County, North Carolina",4.48,7.41,2,2,0.55,3,"370210025052",2,0,2
"119","370210026042","37","021","002604","2","Block Group 2, Census Tract 26.04, Buncombe County, North Carolina",0,0,1,1,0.46,3,NA,0,0,0
"120","370210026061","37","021","002606","1","Block Group 1, Census Tract 26.06, Buncombe County, North Carolina",8.37,8.47,2,2,0.73,4,NA,0,0,0
"121","370210026063","37","021","002606","3","Block Group 3, Census Tract 26.06, Buncombe County, North Carolina",0,2.44,1,1,0.73,4,NA,0,0,0
"122","370210024023","37","021","002402","3","Block Group 3, Census Tract 24.02, Buncombe County, North Carolina",0,8.66,2,1,0.51,3,NA,0,0,0
"123","370210031041","37","021","003104","1","Block Group 1, Census Tract 31.04, Buncombe County, North Carolina",10.58,5.63,1,3,0.71,4,NA,0,0,0
